address,pnl,trade_count,volume,cache_timestamp
DnFFV4XwzDwyc5bYKL5raJ1L2gdYnjyyYNTvQb8dwP5C,1054947.5450911806,19640,6375312.4056607755,2024-12-02 13:59:56.004298
7bHjLgxFYdkaTExXcHUReGQDzEoUL1cxLFt2wXEUrG9p,1026942.3047692293,103426,1275089.094058598,2024-12-02 13:59:56.004298
7ZerwX74G77KaFphMewzJ9PbhuRbpnWw5G4WuEY9q7FT,1012978.1326077378,16,1463525.370559962,2024-12-02 13:59:56.004298
4Uq8kK9rzb1BhLKez5LgfzQLHUn2TTX1LRnyfkxFBrDo,1003087.577049685,444,2422757.981207553,2024-12-02 13:59:56.004298
8pPypze1gopqjSW7f16QpvGemqR73vPzszFVS1g3gxcV,972629.0251486585,664,1015567.6301731188,2024-12-02 13:59:56.004298
5pdhEcFzYf8w58NJgLbd1qwUxW3Xb9QXosMtM4cPxq1Q,968975.65811784,1206,1704005.1277156204,2024-12-02 13:59:56.004298
7vi5dyBk6s7nj3HPmSN35Ts2ZXkaKKwSbmF5MwdN94eL,959059.417360442,129915,308344570.56193364,2024-12-02 13:59:56.004298
2ssSz6Khn2TsztttsjdJF9bRPqjC7guiqc173QNDsxav,951891.3439767197,5988,1012887.1531674407,2024-12-02 13:59:56.004298
DjLn2HVMBhrxnKXjM73qaBENZAq3TkYTeB3E57TXS1rN,945969.5329095706,147,94669.09874214328,2024-12-02 13:59:56.004298
4MHtgN4qXcyCfd3bk6CfjxYMFTFSD8xwbEFBH7kaNBUu,944728.3552048638,2364,1578165.0541798568,2024-12-02 13:59:56.004298
C77Ukt7v1izNoUvUDRTBTDbWWk6cUr2DXwK6KojeXsMe,939599.6290424507,16,1008829.458379299,2024-12-02 13:59:56.004298
8jnsYwYdJuN7s6vKyjPetojHgr4ReaLfRi4jvdhffvNe,920675.0137017858,918,966967.8425971945,2024-12-02 13:59:56.004298
Bmjc6oqBuMuLwqGoHPDLstshN1o3MrtsQFSPTCFWGPkt,920178.7916487671,777,965548.2771335777,2024-12-02 13:59:56.004298
7BPvZpUSCq73tHrrchwr2eeL3WRYK9vBV1JSFRdh53V5,918769.727509208,615,959949.7846480162,2024-12-02 13:59:56.004298
66qHvJAkaVUD5gPY2C54nY2ED16TQcBwB2xupsPGq7XV,907364.5297551428,824,952374.1732273898,2024-12-02 13:59:56.004298
AWFuot3MjeffiGhMsKZrotxmsSswnhrxb7Ye7EN8Rq5F,898877.6696762192,930,942545.23722523,2024-12-02 13:59:56.004298
CqJfc2Pk8a2Jzv38rUP6NMtixjkDdgdDLv1JjFHBTaCB,894691.3765023795,702,936448.15128063,2024-12-02 13:59:56.004298
Q969vAkTGVCDXhhyXAJg2L8KnXSC9qQtgdJ6J94vrQ4,891555.878187783,2569,1173486.230330398,2024-12-02 13:59:56.004298
9kwTpWuokw9TBE4syz3Nz1sB337FJGhVG91Fw3SWb5EE,886612.3821743405,800,929243.6358499671,2024-12-02 13:59:56.004298
